Timestamp,Status,Current,Total,Progress
2025-02-21 03:08:11,in_progress,96,97,98.97%
2025-02-21 03:08:17,in_progress,96,97,98.97%
2025-02-21 03:08:22,in_progress,96,97,98.97%
2025-02-21 03:08:27,in_progress,96,97,98.97%
2025-02-21 03:08:32,in_progress,96,97,98.97%
2025-02-21 03:08:38,in_progress,96,97,98.97%
2025-02-21 03:08:43,in_progress,96,97,98.97%
2025-02-21 03:08:48,in_progress,96,97,98.97%
2025-02-21 03:08:53,in_progress,96,97,98.97%
2025-02-21 03:08:59,in_progress,96,97,98.97%
2025-02-21 03:09:04,in_progress,96,97,98.97%
2025-02-21 03:09:09,in_progress,96,97,98.97%
2025-02-21 03:09:14,in_progress,96,97,98.97%
2025-02-21 03:09:20,in_progress,96,97,98.97%
2025-02-21 03:09:25,in_progress,96,97,98.97%
2025-02-21 03:09:30,in_progress,96,97,98.97%
2025-02-21 03:09:35,in_progress,96,97,98.97%
2025-02-21 03:09:41,in_progress,96,97,98.97%
